 Способ размещения заказа; Наименование заказа; Начальная (максимальная) цена контракта (лота); Организация, размещающая заказ; Этап размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
 Открытый аукцион в электронной форме; Капитальный  ремонт помещений; 310 016,35;" федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Российский государственный университет нефти и газа имени И. М. Губкина"""; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме; поставка с доставкой продуктов питания; 23 635,83;" государственное бюджетное образовательное учреждение среднего профессионального образования Ростовской области ""Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И."""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Оказание банковских услуг – реализация «зарплатного проекта» с использованием банковских карт для нужд Управления образования Администрации муниципального образования Красноселькупский район.; 526 912,82; Администрация муниципального образования Красноселькупский район; Подача заявок; 18.01.2013; 28.01.2013
 Открытый конкурс; Открытый конкурс на право заключения муниципального контракта на оказание услуг по добровольному медицинскому страхованию несовершеннолетних членов семей муниципальных служащих муниципалитета внутригородского муниципального образования Бибирево в городе Москве; 1 421 200,00; Муниципалитет внутригородского муниципального образования Бибирево в городе Москве; Подача заявок; 18.01.2013; 18.02.2013
 Запрос котировок; Оказание услуг по уборке административных помещений прокуратуры Мурманской области: г. Полярные Зори, пр. Нивский, 11; 8 024,00; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Уборка помещений в зданиях МО МВД России «Великоустюгский», расположенных по адресу с. Нюксеница, ул. Советская, д. 11 (участок 1); 29 913,80;" Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Великоустюгский"" (реализующий задачи и функции органов внутренних дел на территории Великоустюгского, Нюксенского и Тарногского районов)"; Подача заявок; 18.01.2013; 24.01.2013
 Запрос котировок; Оказание образовательных услуг по профессиональному обучению безработных граждан по специальности менеджер в организации (транспортная логистика) ; 30 000,00; Государственное казенное учреждение Московской области Раменский центр занятости населения; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; оценка качества исследований, выполняемых в клинико-биохимической лаборатории Клиники ИМЧ РАН в 2013 году и поставка контрольных образцов для внутрилабораторного контроля качества с установленными референтными значениями в рамках Федеральной системы внешней оценки качества клинических лабораторных исследований (ФСВОК).; 74 459,00; Федеральное государственное бюджетное учреждение науки Институт мозга человека им. Н.П. Бехтеревой Российской академии наук; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; выполнение работ по текущему ремонту спортивно-оздоровительного комплекса Пятигорской клиники ФГБУ ПГНИИК ФМБА России; 377 679,00;" Федеральное государственное бюджетное учреждение ""Пятигорский государственный научно-исследовательский институт курортологии Федерального медико-биологического агентства"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый конкурс; Открытый конкурс на право заключения муниципальных контрактов на оказание услуг по медицинскому обслуживанию муниципальных служащих муниципалитета внутригородского муниципального образования Бибирево в городе Москве и взрослым совершеннолетним членам их семей; 3 981 906,00; Муниципалитет внутригородского муниципального образования Бибирево в городе Москве; Подача заявок; 18.01.2013; 18.02.2013
 Открытый конкурс; Открытый конкурс на право заключения муниципальных контрактов на оказание услуг по медицинскому обслуживанию муниципальных служащих муниципалитета внутригородского муниципального образования Бибирево в городе Москве и взрослым совершеннолетним членам их семей; 264 805,00; Муниципалитет внутригородского муниципального образования Бибирево в городе Москве; Подача заявок; 18.01.2013; 18.02.2013
 Открытый аукцион в электронной форме;" Поставка лекарственных препаратов (препаратов, применяемых в офтальмологии) до граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии со ст. 6.2 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"""; 145 661,21; комитет государственного заказа Тульской области; Подача заявок; 18.01.2013; 29.01.2013
 Запрос котировок; Оказание автотранспортных услуг для нужд федерального государственного бюджетного учреждения «Аналитический центр при Правительстве Российской Федерации».; 250 000,00;" федеральное государственное бюджетное учреждение ""Аналитический центр при Правительстве Российской Федерации"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка антипсихотических лекарственных препаратов VII; 1 064 507,00;" бюджетное учреждение здравоохранения Омской области ""Клиническая психиатрическая больница имени Н.Н. Солодникова"""; Подача заявок; 18.01.2013; 26.01.2013
 Запрос котировок; Оказание автотранспортных услуг для нужд федерального государственного бюджетного учреждения «Аналитический центр при Правительстве Российской Федерации»; 250 000,00;" федеральное государственное бюджетное учреждение ""Аналитический центр при Правительстве Российской Федерации"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области: п. Никель, пр. Гвардейский, 13. г. Заполярный, ул. Юбилейная, 2; 8 690,40; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; «Поставка продуктов питания (рыба и рыбная продукция)»для ДОУ №4 «Елочка»  февраль-апрель 2013 года; 81 128,00; Филиал № 1 Управления финансового обеспечения Министерства обороны Российской Федерации по Мурманской области; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Право заключения гражданско-правового договора на оказание услуг по комплексному техническому обслуживанию внутридомовых инженерных сетей (центральное отопление и горячее водоснабжение) объекта ГБУЗ «Госпиталь для ветеранов войн»; 193 014,47;" Государственное бюджетное учреждение здравоохранения Республики Карелия ""Госпиталь для ветеранов войн"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по техническому инспектированию при выполнении работ по благоустройству территории МО МО Волковское; 614 177,69; Местная Администрация Внутригородского муниципального образования Санкт-Петербурга Муниципальный округ Волковское; Подача заявок; 18.01.2013; 26.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области: г. Оленегорск, Ленинградский проспект, 4 (3 этаж); 9 455,40; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения договора на поставку концентрата минерального «Галит»; 283 333,00;" Муниципальное бюджетное учреждение г. Азова ""Чистый город"""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Услуги по техническому обслуживанию холодильного оборудования в ГБОУ СОШ № 594 в 2013 году; 12 400,00; Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 594 Московского района Санкт-Петербурга; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме;" поставка мяса говядины и цыплят бройлеров на первый квартал 2013 года для больных клиники ГБОУ ВПО ""РостГМУ""  Минздрава России"; 623 911,67;" государственное бюджетное образовательное учреждение высшего профессионального образования ""Ростовский государственный медицинский университет"" Министерства здравоохранения  Российской Федерации"; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме; автомобиль; 1 100 000,00; Управление муниципального заказа администрации города Липецка; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; ОАЭФ на выполнение работ; 374 000,00;" Северо-Кавказский (г. Махачкала) филиал Федерального государственного бюджетного образовательного учреждения высшего профессионального образования ""Российская правовая академия Министерства юстиции Российской Федерации"""; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме; «Поставка продуктов питания (мясо и субпродукты)»для ДОУ 5 и ДОУ 18 февраль – июнь 2013 года; 148 571,50; Филиал № 1 Управления финансового обеспечения Министерства обороны Российской Федерации по Мурманской области; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Уборка помещений в зданиях МО МВД России «Великоустюгский» (участок 7); 29 913,80;" Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Великоустюгский"" (реализующий задачи и функции органов внутренних дел на территории Великоустюгского, Нюксенского и Тарногского районов)"; Подача заявок; 18.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения договора на поставку природного песка; 207 000,00;" Муниципальное бюджетное учреждение г. Азова ""Чистый город"""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; оказание услуг по стирке белья, спецодежды и ковровых изделий для Пятигорской клиники и филиалов  ФГБУ ПГНИИК ФМБА России в 2013 году; 2 995 597,70;" Федеральное государственное бюджетное учреждение ""Пятигорский государственный научно-исследовательский институт курортологии Федерального медико-биологического агентства"""; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме; Поставка антипсихотических лекарственных препаратов VI; 603 467,25;" бюджетное учреждение здравоохранения Омской области ""Клиническая психиатрическая больница имени Н.Н. Солодникова"""; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме; Выполнение работ по строительству нового лечебно-диагностического (хирургического профиля) корпуса ГУЗ «Городская больница №33» по адресу: Санкт-Петербург, г. Колпино,  ул. Павловская, д.16,   для государственных нужд Санкт-Петербурга; 978 805 575,54; Комитет по строительству; Подача заявок; 18.01.2013; 04.02.2013
 Открытый аукцион в электронной форме; Поставка антипсихотических лекарственных препаратов V; 597 440,25;" бюджетное учреждение здравоохранения Омской области ""Клиническая психиатрическая больница имени Н.Н. Солодникова"""; Подача заявок; 18.01.2013; 26.01.2013
 Запрос котировок; Оказание образовательных услуг по профессиональному обучению безработных граждан по специальности менеджер по персоналу. ; 30 000,00; Государственное казенное учреждение Московской области Раменский центр занятости населения; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; выполнение работ по зимнему содержанию дорог Ильинского городского поселения; 199 999,69; Администрация Ильинского городского поселения Ильинского муниципального района Ивановской области; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Восстановление наружного освещения ; 50 000 000,00;" комитет дорожного хозяйства, благоустройства и транспорта администрации муниципального образования ""Город Саратов"""; Подача заявок; 18.01.2013; 07.02.2013
 Запрос котировок; Поставка лекарственного средства «Серетид® Мультидиск» или эквивалент; 175 000,00;" бюджетное учреждение здравоохранения Вологодской области ""Вологодская областная клиническая больница"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области:  г.Мончегорск, ул.Комсомольская Набережная, д. 52/9; 18 210,40; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; по выбору генерального подрядчика на право заключения муниципального контракта на выполнение работ по строительству объекта: «Газификация г. Балтийск – 1 этап», Калининградская область; 167 584 290,00; Конкурсное агентство Калининградской области; Подача заявок; 18.01.2013; 04.02.2013
 Открытый аукцион в электронной форме; Выполнение работ по обшивке металлопрофилем внутренних стен вольеров в Центре разведения и реабилитации переднеазиатского леопарда; 1 639 812,96;" Федеральное государственное бюджетное учреждение ""Сочинский национальный парк"""; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Оказание банковских услуг – реализация «зарплатного проекта» с использованием банковских карт для нужд муниципального общеобразовательного учреждения Красноселькупская средняя общеобразовательная школа «Радуга».; 928 807,65; Администрация муниципального образования Красноселькупский район; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; на право заключения муниципального контракта на завершение работ по строительству объекта «Канализационный напорный коллектор в г. Багратионовске Калининградской области» (восстановление дорожного покрытия по ул.Гвардейской, переулку Озёрный в г.Багратионовске).; 2 157 607,00; Конкурсное агентство Калининградской области; Подача заявок; 15.01.2013; 23.01.2013
 Запрос котировок;" Запрос котировок на право заключения договора на приобретение лекарственных средств (препараты ангиопротекторы) для ГБУЗ ""ГКБ № 61 ДЗМ"""; 498 540,75;" Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 61 Департамента здравоохранения города Москвы"""; Подача заявок; 19.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; поставка с доставкой продуктов питания; 33 814,17;" государственное бюджетное образовательное учреждение среднего профессионального образования Ростовской области ""Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И."""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на выполнение работ; 1 190 000,00;" Федеральное государственное бюджетное учреждение науки ""Институт токсикологии Федерального медико-биологического агентства"""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; на право заключить муниципальный контракт на выполнение работ по техническомуобслуживанию (ТО) системы автоматической пожарной сигнализации, системы оповещения и управления эвакуацией людей при пожаре в зданиях, расположенных по адресам: ул. Сибирская, 14, ул. Сибирская, 17а, 17б, ул. Сибирская, 27, ул. Пермская,57, ул. Пермская, 60,                           ул. Пермская, 82, ул. Ленина, 34, ул. Ленина, 85, ул. Щербакова, 24, ул. Транспортная, 2.  ; 400 804,48;" Муниципальное казенное учреждение ""Управление по эксплуатации административных зданий города Перми"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Уборка помещений в зданиях МО МВД России «Великоустюгский» (участок 6); 29 913,80;" Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Великоустюгский"" (реализующий задачи и функции органов внутренних дел на территории Великоустюгского, Нюксенского и Тарногского районов)"; Подача заявок; 18.01.2013; 24.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области:  поселок Ревда, ул.Умбозерская, д.1; 6 327,40; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Поставка угля каменного марки «ДР» или эквивалента.; 243 000,00;" Администрация муниципального образования ""Базарносызганский район"""; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Оказание услуг по составлению декларации пожарной безопасности для нужд Смоленского ЦНТИ – филиала ФГБУ «РЭА» Минэнерго России.; 59 000,00;" Смоленский центр научно-технической информации - филиал ФГБУ ""РЭА"" Минэнерго России"; Подача заявок; 21.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Выполнение работ по комплексной уборке территории; 2 996 456,41;" федеральное государственное казенное учреждение ""Войсковая часть 61608"""; Подача заявок; 13.01.2013; 21.01.2013
 Открытый конкурс; на право заключения договора на выполнение работ по завершению строительства Института детской эндокринологии ФГБУ «Эндокринологический научный центр» Минздравсоцразвития России; 2 829 080 282,00;" Федеральное государственное бюджетное учреждение ""Эндокринологический научный центр"" Министерства здравоохранения и социального развития Российской Федерации"; Подача заявок; 18.01.2013; 07.02.2013
 Запрос котировок; Поставка лекарственных средств противовирусных; 194 900,00;" бюджетное учреждение здравоохранения Вологодской области ""Вологодская областная клиническая больница"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; «Поставка продуктов питания (мясо и субпродукты)для ДОУ №4 «Елочка»  февраль-апрель 2013 года; 111 386,00; Филиал № 1 Управления финансового обеспечения Министерства обороны Российской Федерации по Мурманской области; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Выполнение работ  по  проведению энергетического обследования; 387 675,00; Администрация Городищенского городского поселения; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения государственного контракта на оказание услуг почтовой связи для нужд судебных участков мировых судей г.Чебоксары и г.Новочебоксарск Чувашской Республики; 851 214,00; Государственная служба Чувашской Республики по конкурентной политике и тарифам; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Оказание услуг водителей по управлению автотранспортом, включающие перевозку пассажиров и имущества Заказчика; 6 849 138,94; Следственное управление Следственного комитета Российской Федерации по Новосибирской области; Подача заявок; 18.01.2013; 08.02.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения  договора бюджетного учреждения на оказание услуг по вооруженной охране объекта ВХНРЦ им. академика И.Э. Грабаря (Костромской филиал); 681 696,00;" Федеральное государственное бюджетное учреждение культуры ""Всероссийский художественный научно-реставрационный центр имени академика И.Э. Грабаря"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок;" Содержание пешеходных тротуаров в зимний период на территории муниципального образования ""Каменское"""; 277 948,58;" Администрация муниципального образования ""Каменское"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения государственного контракта на поставку программного обеспечения в рамках реализации мероприятия «Обновление и содержание информационной и телекоммуникационной инфраструктуры органов исполнительной власти»; 341 780,00; комитет по охране окружающей среды и природных ресурсов Ростовской области; Подача заявок; 18.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; ПРАВО ЗАКЛЮЧЕНИЯ  ГОСУДАРСТВЕННОГО КОНТРАКТА НА ПОСТАВКУ АДАПТИРОВАННОЙ СУХОЙ МОЛОЧНОЙ СМЕСИ ДЛЯ ВСКАРМЛИВАНИЯ ДЕТЕЙ С РОЖДЕНИЯ ДО 12 МЕСЯЦЕВ; 19 279 560,30; Управление государственного заказа Мурманской области; Подача заявок; 15.01.2013; 01.02.2013
 Открытый аукцион в электронной форме; Закупка медикаментов на 1 полугодие 2013 г. среди субъектов малого предпринимательства; 895 544,00;" Муниципальное бюджетное учреждение здравоохранения ""Городская больница скорой медицинской помощи города Ростова-на-Дону"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Уборка помещений в зданиях МО МВД России «Великоустюгский» (участок 5); 44 870,70;" Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Великоустюгский"" (реализующий задачи и функции органов внутренних дел на территории Великоустюгского, Нюксенского и Тарногского районов)"; Подача заявок; 18.01.2013; 24.01.2013
 Запрос котировок; Закупка медикаментов; 249 117,49;" Муниципальное бюджетное учреждение здравоохранения ""Городская больница скорой медицинской помощи города Ростова-на-Дону"""; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Закупка горюче-смазочных материалов для нужд Управления Федеральной налоговой службы по Тульской области; 476 731,60; Управление Федеральной налоговой службы по Тульской области; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Выполнение работ по замене оконных блоков в здании ГБДОУ детский сад № 45 Красносельского района СПб.; 190 814,00; Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 компенсирующего вида Красносельского района Санкт-Петербурга; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Поставка лекарственного средства «Актовегин» или эквивалент; 450 100,00;" бюджетное учреждение здравоохранения Вологодской области ""Вологодская областная клиническая больница"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; поставка с доставкой продуктов питания; 206 755,10;" государственное бюджетное образовательное учреждение среднего профессионального образования Ростовской области ""Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И."""; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Поставка угля каменного марки «ДР» или эквивалента.; 295 650,00;" Администрация муниципального образования ""Базарносызганский район"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Аукцион на право заключения договора на поставку и монтаж оборудования для нужд ФГУП «ВИАМ» для оснащения участка, создаваемого по объекту: «Техническое перевооружение мощностей по производству композиционных материалов на керамической матрице».; 625 000,00;" федеральное государственное унитарное предприятие ""Всероссийский научно-исследовательский институт авиационных материалов"""; Подача заявок; 18.01.2013; 15.02.2013
 Открытый аукцион в электронной форме; № 1024 - А на право заключения государственного контракта на замену деревянных оконных  и дверных блоков  на блоки из ПВХ профилей со стеклопакетами и замену витражей входа в административном здании по ул.Крестьянская, 236, для нужд ГКУ РА «Служба эксплуатации административных зданий и автотранспорта»; 4 267 822,00; Министерство финансов Республики Адыгея; Подача заявок; 30.12.2012; 21.01.2013
 Открытый аукцион в электронной форме; поставка с доставкой продуктов питания; 55 582,54;" государственное бюджетное образовательное учреждение среднего профессионального образования Ростовской области ""Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И."""; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок;  поставка печени в 1 квартале  2013 г.; 31 742,00;" муниципальное бюджетное дошкольное образовательное учреждение г. Астрахани ""Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 108 ""Ивушка"""; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; на право заключения государственного контракта на предоставление услуг подвижной радиотелефонной связи стандарта GSM 900/1800 для Федерального агентства морского и речного транспорта в 2013 году; 630 000,00; Федеральное агентство морского и речного транспорта; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Капитальный  ремонт помещений; 227 452,94;" федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Российский государственный университет нефти и газа имени И. М. Губкина"""; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме; Оказание услуг управления эксплуатационным обслуживанием зданий, инженерно-технических систем, оборудования и санитарно-техническому  содержанию зданий и прилегающей территории территориальных органов ФНС России в Ивановской области; 9 266 206,78; Инспекция Федеральной налоговой службы по г. Иваново; Подача заявок; 11.01.2013; 01.02.2013
 Открытый аукцион в электронной форме; Поставка комплекса средств защиты информации и мониторинга (по спецификации) для нужд Министерства обороны Российской Федерации в 2013 году.; 84 977 040,00; Федеральное агентство по поставкам вооружения, военной, специальной техники и материальных средств; Подача заявок; 18.01.2013; 08.02.2013
 Открытый аукцион в электронной форме; Аукцион на право заключения договора на поставку и монтаж оборудования для нужд ФГУП «ВИАМ» для оснащения участка, создаваемого по объекту: «Техническое перевооружение мощностей по производству композиционных материалов на керамической матрице».; 2 000 000,00;" федеральное государственное унитарное предприятие ""Всероссийский научно-исследовательский институт авиационных материалов"""; Подача заявок; 18.01.2013; 15.02.2013
 Открытый аукцион в электронной форме; Выполнение работ по реконструкции объекта: Богатырский пр. (Маг.1) от ул.Гаккелевской до ул.Байконурской для государственных нужд Санкт-Петербурга; 535 060 460,60; Комитет по строительству; Подача заявок; 18.01.2013; 04.02.2013
 Открытый конкурс; Выполнение работ по  комплексному обслуживанию и перемещению коллекций музейных предметов, специального технического оборудования,  новой техники и других вспомогательных материалов в запасниках и на складах Исторического музея; 9 216 667,00;" Федеральное государственное бюджетное учреждение культуры ""Государственный исторический музей"""; Подача заявок; 18.01.2013; 18.02.2013
 Открытый аукцион в электронной форме; Оказание услуг по техническому обслуживанию систем автоматики вентиляции для Саратовского государственного медицинского университета; 433 333,33;" государственное бюджетное образовательное учреждение высшего профессионального образования ""Саратовский государственный медицинский университет имени В.И. Разумовского"" Министерства здравоохранения Российской Федерации"; Подача заявок; 18.01.2013; 28.01.2013
